GeneID	meanvect
ENSG00000000003	24.525
ENSG00000000005	0.145
ENSG00000000419	41.34
ENSG00000000457	5.885
ENSG00000000460	20.16
ENSG00000000938	0
ENSG00000000971	0.2
ENSG00000001036	58.2
ENSG00000001084	33.455
ENSG00000001167	30.005
ENSG00000001460	7.925
ENSG00000001461	13.985
ENSG00000001497	46.195
ENSG00000001561	4.6
ENSG00000001617	4.385
ENSG00000001626	0.5
ENSG00000001629	34
ENSG00000001630	63.545
ENSG00000001631	23.92
ENSG00000002016	12.825
ENSG00000002079	0.065
ENSG00000002330	32.92
ENSG00000002549	49.875
ENSG00000002586	80.625
ENSG00000002587	0
ENSG00000002726	0.065
ENSG00000002745	0.085
ENSG00000002746	1.635
ENSG00000002822	17.745
ENSG00000002834	14.205
ENSG00000002919	12.365
ENSG00000002933	0.03
ENSG00000003056	46.02
ENSG00000003096	9.135
ENSG00000003137	2.99
ENSG00000003147	5.14
ENSG00000003249	26.815
ENSG00000003393	13.195
ENSG00000003400	3.09
ENSG00000003402	9.1
ENSG00000003436	6.705
ENSG00000003509	18.305
ENSG00000003756	139.005
ENSG00000003987	1.415
ENSG00000003989	13.355
ENSG00000004059	111.06
ENSG00000004139	9.54
ENSG00000004142	66.065
ENSG00000004399	9.01
ENSG00000004455	290.675
ENSG00000004468	0.045
ENSG00000004478	147.58
ENSG00000004487	97.925
ENSG00000004534	59.295
ENSG00000004660	7.41
ENSG00000004700	21.445
ENSG00000004766	15.845
ENSG00000004776	0.885
ENSG00000004777	4.975
ENSG00000004779	107.245
ENSG00000004799	0.535
ENSG00000004809	0
ENSG00000004838	1.955
ENSG00000004846	0.115
ENSG00000004848	0.135
ENSG00000004864	37.66
ENSG00000004866	17.785
ENSG00000004897	108.5
ENSG00000004939	0.01
ENSG00000004948	0.105
ENSG00000004961	30.98
ENSG00000004975	36.165
ENSG00000005001	0
ENSG00000005007	53.345
ENSG00000005020	25.17
ENSG00000005022	505.285
ENSG00000005059	14.34
ENSG00000005073	15.495
ENSG00000005075	48.04
ENSG00000005100	31.85
ENSG00000005102	0.445
ENSG00000005108	0.285
ENSG00000005156	27.69
ENSG00000005175	47.075
ENSG00000005187	1.905
ENSG00000005189	6.195
ENSG00000005194	65.97
ENSG00000005206	22.595
ENSG00000005238	1.165
ENSG00000005243	0.4
ENSG00000005249	8.84
ENSG00000005302	19.985
ENSG00000005339	58.03
ENSG00000005379	0
ENSG00000005381	0
ENSG00000005421	0.025
ENSG00000005436	19.69
ENSG00000005448	26.31
ENSG00000005469	4.985
ENSG00000005471	0.615
ENSG00000005483	23.25
ENSG00000005486	41.875
ENSG00000005513	3.47
ENSG00000005700	17.44
ENSG00000005801	25.175
ENSG00000005810	54.235
ENSG00000005812	41.555
ENSG00000005844	0.165
ENSG00000005882	24.225
ENSG00000005884	4.925
ENSG00000005889	23.37
ENSG00000005893	62.59
ENSG00000005961	3.755
ENSG00000005981	0
ENSG00000006007	56.905
ENSG00000006015	15.76
ENSG00000006016	5.655
ENSG00000006025	2.21
ENSG00000006042	15.87
ENSG00000006047	0.72
ENSG00000006059	0
ENSG00000006062	1.89
ENSG00000006071	1.985
ENSG00000006116	0
ENSG00000006118	27.975
ENSG00000006125	55.6
ENSG00000006128	0.57
ENSG00000006194	11.195
ENSG00000006210	0.025
ENSG00000006282	7.49
ENSG00000006283	0.475
ENSG00000006327	4.205
ENSG00000006377	4.665
ENSG00000006432	5.29
ENSG00000006451	31.51
ENSG00000006453	22.67
ENSG00000006459	8.32
ENSG00000006468	2.885
ENSG00000006530	62.69
ENSG00000006534	1.48
ENSG00000006555	0.06
ENSG00000006576	13.475
ENSG00000006606	0
ENSG00000006607	41.415
ENSG00000006611	2.945
ENSG00000006625	51.655
ENSG00000006634	57.96
ENSG00000006638	0.975
ENSG00000006652	35.985
ENSG00000006659	0
ENSG00000006695	12.49
ENSG00000006704	13.44
ENSG00000006712	59.985
ENSG00000006715	24.63
ENSG00000006740	7.58
ENSG00000006744	102.955
ENSG00000006747	0.75
ENSG00000006756	0.06
ENSG00000006757	0.475
ENSG00000006788	0.01
ENSG00000006831	32.02
ENSG00000006837	1.345
ENSG00000007001	0.06
ENSG00000007038	0
ENSG00000007047	24.41
ENSG00000007062	0.025
ENSG00000007080	119.01
ENSG00000007129	0
ENSG00000007168	72.275
ENSG00000007171	0.855
ENSG00000007174	0.02
ENSG00000007202	70.995
ENSG00000007216	0
ENSG00000007237	1.855
ENSG00000007255	8.08
ENSG00000007264	15.81
ENSG00000007306	0
ENSG00000007312	0
ENSG00000007314	0.695
ENSG00000007341	27.48
ENSG00000007350	0.34
ENSG00000007372	33.215
ENSG00000007376	48.61
ENSG00000007384	3.99
ENSG00000007392	43.125
ENSG00000007402	4.415
ENSG00000007516	1.675
ENSG00000007520	43.55
ENSG00000007541	27.175
ENSG00000007545	20.7
ENSG00000007866	4.82
ENSG00000007908	0.015
ENSG00000007923	54.815
ENSG00000007933	0.75
ENSG00000007944	5.47
ENSG00000007952	0.495
ENSG00000007968	13.005
ENSG00000008018	150.085
ENSG00000008056	1.81
ENSG00000008083	14.955
ENSG00000008086	2.56
ENSG00000008118	0
ENSG00000008128	26.11
ENSG00000008130	40.855
ENSG00000008196	0
ENSG00000008197	0
ENSG00000008226	0.375
ENSG00000008256	15.55
ENSG00000008277	5.605
ENSG00000008282	31.005
ENSG00000008283	6.15
ENSG00000008294	70.21
ENSG00000008300	7.175
ENSG00000008311	17.595
ENSG00000008323	0.245
ENSG00000008324	21.595
ENSG00000008382	11.605
ENSG00000008394	56.495
ENSG00000008405	20.565
ENSG00000008438	0.505
ENSG00000008441	9.745
ENSG00000008513	3.415
ENSG00000008516	1.905
ENSG00000008517	0.245
ENSG00000008710	35.525
ENSG00000008735	9.105
ENSG00000008838	61.8
ENSG00000008853	4.555
ENSG00000008869	14.565
ENSG00000008952	59.15
ENSG00000008988	734.505
ENSG00000009307	416.28
ENSG00000009335	80.16
ENSG00000009413	16.17
ENSG00000009694	4.8
ENSG00000009709	0.615
ENSG00000009724	8.005
ENSG00000009765	0.03
ENSG00000009780	16.865
ENSG00000009790	0.17
ENSG00000009830	31.61
ENSG00000009844	56.625
ENSG00000009950	8.655
ENSG00000009954	76.605
ENSG00000010017	22.245
ENSG00000010030	0.09
ENSG00000010072	48.645
ENSG00000010165	37.815
ENSG00000010219	22.69
ENSG00000010244	140.88
ENSG00000010256	131.945
ENSG00000010270	28.445
ENSG00000010278	23.98
ENSG00000010282	0.085
ENSG00000010292	91.945
ENSG00000010295	18.69
ENSG00000010310	1.515
ENSG00000010318	9.805
ENSG00000010319	1.5
ENSG00000010322	53.175
ENSG00000010327	0.08
ENSG00000010361	22.265
ENSG00000010379	0.055
ENSG00000010404	18.615
ENSG00000010438	0.155
ENSG00000010539	10.315
ENSG00000010610	0.56
ENSG00000010626	1.975
ENSG00000010671	0.49
ENSG00000010704	0.165
ENSG00000010803	25.17
