try 208, z = -0.4786392039235557
try 80, z = -1.506788894798791
try 96, z = 0.13463611117176363
try 256, z = 0.34852938194423577
try 464, z = 0.05550915242190716
try 32, z = -0.7356481532845504
try 128, z = -0.6308457997517893
try 480, z = 1.8818801493073782
try 496, z = 0.152700373269722
try 352, z = 2.2982137905539677
try 176, z = -0.3551593740976257
try 64, z = -1.3590895425406877
try 288, z = -0.20925406362444499
try 304, z = -1.9985571738948853
try 240, z = 0.6075721109502055
try 16, z = 0.3142974423230394
try 144, z = -0.3149426746229184
try 160, z = 2.246096861217942
try 384, z = -0.8091671955233108
try 432, z = -0.31907838324725224
try 400, z = -0.2560558673973202
try 0, z = -0.4285147948743456
try 320, z = -0.611367080218775
try 112, z = 0.46791290478751135
try 272, z = -0.21054326211789606
try 336, z = 2.201464882965417
try 416, z = 1.394881216908688
try 368, z = -0.26672902366054174
try 48, z = -0.5556820009220879
try 448, z = -0.6610753248839615
try 224, z = -0.8153748425702778
try 192, z = -0.7553401484673847
try 209, z = -0.29079205134977254
try 81, z = -0.6229104563871598
try 129, z = -1.441386961249221
try 1, z = 1.3335042577364136
try 497, z = -1.0912126644202103
try 273, z = -1.372996645912264
try 33, z = -0.006942917113768259
try 481, z = 0.729554224361913
try 337, z = -0.8913417710906661
try 305, z = 0.4888597013815104
try 65, z = -0.11356926046358681
try 353, z = -0.787597688231485
try 97, z = -0.2286950669833117
try 257, z = 1.9741930381611157
try 177, z = 1.2499365476060649
try 241, z = -1.319679354726615
try 433, z = -1.3475667778924967
try 193, z = -2.366097228152188
try 385, z = -0.4504644057632794
try 465, z = 0.11390005769002359
try 401, z = 0.6415186798242197
try 321, z = -0.6663324333551663
try 145, z = -1.2651036330743783
try 113, z = -1.699212378084116
try 17, z = -0.21601927867394624
try 289, z = -0.3763748897476863
try 225, z = 0.16888421244510124
try 161, z = 1.8995291773356975
try 369, z = 0.6454785416686755
try 49, z = -2.5445401310462605
try 417, z = -0.4881778629722432
try 449, z = 0.20418786886239182
try 82, z = -0.936042256987029
try 210, z = 0.058632913112980814
try 130, z = -0.5415955981440118
try 338, z = 0.22348331210446148
try 498, z = -0.7424154486436855
try 258, z = -0.4815485643500721
try 114, z = -1.4021059144525694
try 194, z = -0.1524651163890316
try 274, z = 0.9577064009466337
try 290, z = 0.5909194246445005
try 2, z = 0.22962249593959586
try 242, z = -0.8022451452760128
try 98, z = -0.26578683008766096
try 354, z = 4.292730928964971
try 34, z = -1.2122501640705912
try 66, z = -0.8767498671690241
try 306, z = 0.869593535398009
try 18, z = -2.0449757504485144
try 386, z = 0.18020297559595444
try 322, z = -1.2354864657269966
try 178, z = 0.6007285336498323
try 482, z = -1.2713445054681403
try 434, z = 0.9028948134863584
try 402, z = -1.2160601434194538
try 162, z = -0.21436561113640673
try 226, z = -0.20575492306675291
try 466, z = -0.7270982160189605
try 146, z = 0.20778795653495333
try 370, z = 5.067755379575583
try 418, z = 2.7104546480205074
try 50, z = -1.5816449445338367
try 450, z = -1.1585264608962
try 83, z = -0.7866928445818923
try 211, z = -0.4447697373460542
try 275, z = 1.3255520412913686
try 115, z = 0.20458088610526248
try 259, z = -2.107182765303546
try 499, z = -1.315448302478709
try 339, z = -0.8738841689231279
try 3, z = -1.3403220827583353
try 35, z = -2.569023012847489
try 67, z = -0.7502819917796606
try 19, z = -1.3850766005484805
try 131, z = -1.1454326796011967
try 323, z = -0.8290732449190478
try 355, z = -0.22034594663912707
try 307, z = -0.4997891973087885
try 243, z = -0.23767282655518468
try 435, z = 0.07942821410317508
try 195, z = 0.13915928050556364
try 291, z = 1.1245625664125343
try 99, z = 2.523323291907208
try 147, z = 0.09423314872776348
try 419, z = -1.0886534329789144
try 51, z = -1.1562243724001198
try 179, z = 1.487612982848074
try 163, z = -0.49562566338278496
try 387, z = -2.0211113278139208
try 403, z = -0.6823395931157494
try 467, z = 1.993553037450801
try 227, z = 0.9694831745465187
try 483, z = 0.9837276290284109
try 371, z = 0.5104438969610143
try 451, z = -0.5494510768409917
try 276, z = -0.5876054765230315
try 260, z = -0.9080773516776389
try 212, z = 0.867454497864625
try 84, z = -1.366902632000096
try 500, z = 0.024810098864051257
try 340, z = 0.1762900270117029
try 116, z = 2.3699302142564656
try 132, z = -1.0974030811925903
try 4, z = 2.1314545864299688
try 36, z = 0.49681565135198424
try 292, z = 1.4171967778859447
try 68, z = -0.8822822534597297
try 324, z = -0.2535990357868572
try 100, z = -2.73697185250529
try 356, z = 0.8342258820121913
try 196, z = 0.4818569706835408
try 436, z = 0.4142973951633219
try 20, z = -2.2109351602307985
try 244, z = -1.432336318642411
try 404, z = -1.4502858896441282
try 468, z = 0.41615485074090675
try 164, z = -0.3598425683930221
try 52, z = 1.3842781173363352
try 452, z = -0.4924057245114539
try 420, z = -1.4490349886667908
try 308, z = -0.6504008527739317
try 148, z = -0.10025535609271465
try 228, z = -0.5118603508925083
try 388, z = 1.7580794772499384
try 484, z = -1.905781531651216
try 372, z = -0.6351714298444922
try 180, z = -0.5581213576942585
try 277, z = 0.2528294118093994
try 5, z = -0.6214614356727788
try 85, z = 0.5040347963024772
try 37, z = 0.31241235788391725
try 69, z = -2.619116272238053
try 261, z = -1.3030131304309946
try 213, z = -1.5052094616283027
try 325, z = -1.0674758173777876
try 117, z = -1.1889279932951422
try 341, z = -1.50332564481208
try 357, z = -0.35341174486300647
try 437, z = -1.198185714755067
try 501, z = -0.5000991474401103
try 245, z = 0.6488016591443747
try 405, z = 0.1385752993611474
try 53, z = -1.13692590575087
try 21, z = 1.5686357915537696
try 133, z = 0.423645455276978
try 293, z = 0.3008927275181298
try 101, z = 0.6052640670651391
try 421, z = -0.7415844490015358
try 197, z = 0.7721673499639727
try 469, z = -0.2571755371793007
try 165, z = -0.4775302650354507
try 309, z = -0.10333071581050264
try 149, z = -1.1875303441792016
try 229, z = -0.368326291884573
try 453, z = -2.2206733724896233
try 389, z = -1.3469866782627713
try 181, z = 1.733018025782047
try 373, z = 0.518516807522541
try 485, z = 0.27895500409687185
try 38, z = -0.8103982371865378
try 86, z = -0.33700311683252737
try 6, z = -5.048506162170665
try 278, z = -0.9951291039225202
try 70, z = -1.9930200386742192
try 326, z = 0.6170015898149747
try 358, z = -0.015884078728350216
try 214, z = -1.28315512722129
try 438, z = -0.5722243776159073
try 118, z = -0.8309489465940827
try 246, z = -0.8028542133655344
try 22, z = 1.5128138666141127
try 422, z = -0.5128646589221629
try 102, z = -0.5082169895177325
try 262, z = 1.0570435153791682
try 342, z = 2.322716017805171
try 502, z = 0.08519149818120952
try 470, z = -0.6448211300168138
try 406, z = 0.2246919386836318
try 54, z = 2.246942271079964
try 294, z = 0.6050570488748918
try 150, z = -0.017860945717599643
try 198, z = -0.4523177349101404
try 166, z = -0.5961676413427576
try 134, z = 0.43249743047653233
try 454, z = -0.7506002352507656
try 230, z = 0.5524676647396871
try 310, z = -0.0660684192556214
try 182, z = 0.13118270226147372
try 390, z = -1.8171959733336442
try 486, z = 0.6869597602815509
try 374, z = -0.04656909158978026
try 7, z = -0.8502478414409949
